Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
23-01-2023,Streak,Visual,0.222222222,0,6,27
23-01-2023,Collection,Visual,0.023809524,0,1,42
23-01-2023,Course Certificate,Visual,0.120689655,0,7,58
23-01-2023,Career Track Certificate,Visual,1,1,1,1
24-01-2023,Text Post,Text Post,1,0,1,1
24-01-2023,Level,Visual,0.008064516,0,1,124
24-01-2023,Streak,Visual,0.130434783,1,3,23
24-01-2023,Collection,Visual,0.019230769,0,1,52
24-01-2023,Course Certificate,Visual,0.114285714,0,8,70
24-01-2023,Career Track Certificate,Visual,0,0,0,1
25-01-2023,Text Post,Text Post,1,2,3,3
25-01-2023,Level,Visual,0.016666667,0,2,120
25-01-2023,Streak,Visual,0.115384615,0,3,26
25-01-2023,Collection,Visual,0.015384615,0,1,65
25-01-2023,Course Certificate,Visual,0.188405797,0,13,69
25-01-2023,Career Track Certificate,Visual,1,0,1,1
26-01-2023,Text Post,Text Post,1,1,1,1
26-01-2023,Level,Visual,0.033613445,0,4,119
26-01-2023,Streak,Visual,0.115384615,0,3,26
26-01-2023,Collection,Visual,0.034482759,0,2,58
26-01-2023,Course Certificate,Visual,0.191489362,0,9,47
27-01-2023,Level,Visual,0.045871560,0,5,109
27-01-2023,Streak,Visual,0.058823529,0,1,17
27-01-2023,Collection,Visual,0.02,0,1,50
27-01-2023,Course Certificate,Visual,0.14,0,7,50
27-01-2023,Career Track Certificate,Visual,0.333333333,1,1,3
28-01-2023,Level,Visual,0.026548673,0,3,113
28-01-2023,Goal,Visual,0.625,0,5,8
28-01-2023,Streak,Visual,0.171428571,0,6,35
28-01-2023,Collection,Visual,0,0,0,69
28-01-2023,Course Certificate,Visual,0.384615385,0,20,52
29-01-2023,Level,Visual,0.036036036,0,4,111
29-01-2023,Goal,Visual,0.394366197,0,28,71
29-01-2023,Streak,Visual,0.227272727,0,5,22
29-01-2023,Collection,Visual,0.094339623,0,5,53
29-01-2023,Course Certificate,Visual,0.242424242,0,16,66
29-01-2023,Career Track Certificate,Visual,0.25,0,1,4
30-01-2023,Text Post,Text Post,1,0,2,2
30-01-2023,Level,Visual,0,0,0,128
